File CorvsMaximumcluster CorvsTotal CorvsNumberOfClusters NumberOfClusters DetectedReqGenus
./testing_clustering/r62/contigs_250_woident_unoiseM2_unoiseM2_blast_summary_genus.tsv 0.5560640572480824 0.859325620202107 0.7414081843114964 184 8
./testing_clustering/r81/contigs_250_woident_unoiseM4_minsize3_blast_summary_genus.tsv 0.5501829743136667 0.8320260481671027 0.8092774943912587 98 8
./testing_clustering/r20/contigs_250_woident_clusterP99_unoiseM4_blast_summary_genus.tsv 0.8516573394795386 0.8736394595402774 0.7418327329628103 97 8
./testing_clustering/r98/contigs_250_woident_minsize2_clusterP98_blast_summary_genus.tsv 0.8710093281159204 0.8725856946053542 0.7028526938531074 95 8
./testing_clustering/r114/contigs_250_woident_minsize4_minsize3_blast_summary_genus.tsv 0.5624438089898388 0.8543026580833504 0.9237049393701409 3750 8
./testing_clustering/r101/contigs_250_woident_minsize3_swarmD1_blast_summary_genus.tsv 0.8608228800103713 0.87049059693151 0.8970877694352674 442 8
./testing_clustering/r115/contigs_250_woident_minsize4_minsize4_blast_summary_genus.tsv 0.5624438089898388 0.8543673938621729 0.9251607079007661 3755 8
./testing_clustering/r106/contigs_250_woident_minsize3_unoiseM2_blast_summary_genus.tsv 0.5555709656680539 0.8574916698407079 0.778062446078031 129 8
./testing_clustering/r112/contigs_250_woident_minsize4_swarmD1_blast_summary_genus.tsv 0.8595458319686176 0.8690488484065586 0.9211742300308731 388 8
./testing_clustering/r56/contigs_250_woident_unoiseM2_swarmD2_blast_summary_genus.tsv 0.8604558474060797 0.8726234589572135 0.6641539070483032 92 8
./testing_clustering/r100/contigs_250_woident_minsize3_swarmD2_blast_summary_genus.tsv 0.8580009174047833 0.8690656226456163 0.7288464279147184 101 8
./testing_clustering/r5/contigs_250_woident_clusterP98_minsize4_blast_summary_genus.tsv 0.8723938323810876 0.8745892526358731 0.7668377506267092 134 8
./testing_clustering/r95/contigs_250_woident_minsize2_unoiseM2_blast_summary_genus.tsv 0.5560265817009433 0.8593216583955138 0.7345352987217845 187 8
./testing_clustering/r24/contigs_250_woident_swarmD1_swarmD1_blast_summary_genus.tsv 0.864164448616524 0.8746437924301447 0.8700906646860934 1012 8
./testing_clustering/r117/contigs_250_woident_minsize4_unoiseM2_blast_summary_genus.tsv 0.5551478556453779 0.8561271267565543 0.8087609503741456 98 8
./testing_clustering/r63/contigs_250_woident_unoiseM2_unoiseM3_blast_summary_genus.tsv 0.5560640572480824 0.8591810882244415 0.781096441797488 125 8
./testing_clustering/r39/contigs_250_woident_swarmD2_unoiseM1_blast_summary_genus.tsv 0.8583975851557429 0.8709071306910066 0.749600250594274 275 8
./testing_clustering/r78/contigs_250_woident_unoiseM4_swarmD2_blast_summary_genus.tsv 0.8575501320947808 0.8693270711689622 0.6370511869346253 64 8
./testing_clustering/r48/contigs_250_woident_unoiseM1_minsize3_blast_summary_genus.tsv 0.5509357782216997 0.8364348181333696 0.7738591313387321 128 8
./testing_clustering/r44/contigs_250_woident_swarmD2_clusterP99_blast_summary_genus.tsv 0.8290861175141808 0.829630891161356 0.7961569771275374 596 8
./testing_clustering/r17/contigs_250_woident_clusterP99_unoiseM1_blast_summary_genus.tsv 0.8525109981900849 0.8749073727822868 0.7756923979303709 346 8
./testing_clustering/r84/contigs_250_woident_unoiseM4_unoiseM2_blast_summary_genus.tsv 0.5551855638073935 0.8561271267565543 0.8281590904080302 95 8
./testing_clustering/r99/contigs_250_woident_minsize2_clusterP99_blast_summary_genus.tsv 0.847681551937793 0.8723213383189543 0.900967897543172 396 8
./testing_clustering/r8/contigs_250_woident_clusterP98_unoiseM3_blast_summary_genus.tsv 0.8730098350276805 0.8746762586911209 0.5753369659765318 106 8
